Country,Life expectancy,Adult Mortality,Immunization Coverage,Bubble Size
Slovenia,88.0,74.0,95.0,100.0
Denmark,86.0,71.0,93.0,94.5945945945946
Chile,85.0,82.0,96.0,91.8918918918919
Cyprus,85.0,52.0,97.0,91.8918918918919
Japan,83.7,55.0,97.5,88.37837837837839
Switzerland,83.4,49.0,97.0,87.56756756756758
Singapore,83.1,55.0,96.0,86.75675675675674
Australia,82.8,59.0,93.0,85.94594594594594
Spain,82.8,56.0,97.0,85.94594594594594
Iceland,82.7,49.0,92.0,85.67567567567569
Italy,82.7,56.0,93.0,85.67567567567569
Israel,82.5,58.0,95.0,85.13513513513513
France,82.4,78.0,98.0,84.86486486486487
Sweden,82.4,53.0,98.0,84.86486486486487
Republic of Korea,82.3,64.0,98.0,84.59459459459458
Canada,82.2,64.0,91.0,84.32432432432432
Luxembourg,82.0,63.0,99.0,83.78378378378379
Netherlands,81.9,57.0,95.0,83.51351351351353
Norway,81.8,59.0,95.0,83.24324324324324
Malta,81.7,54.0,97.0,82.97297297297298
New Zealand,81.6,66.0,92.0,82.7027027027027
Austria,81.5,65.0,93.0,82.43243243243244
Ireland,81.4,64.0,95.0,82.16216216216218
United Kingdom of Great Britain and Northern Ireland,81.2,69.0,96.0,81.62162162162163
Belgium,81.1,74.0,99.0,81.35135135135133
Finland,81.1,76.0,97.0,81.35135135135133
Portugal,81.1,76.0,98.0,81.35135135135133
Germany,81.0,68.0,94.5,81.08108108108108
Greece,81.0,72.0,99.0,81.08108108108108
Costa Rica,79.6,95.0,92.0,77.29729729729729
United States of America,79.3,13.0,94.0,76.48648648648648
Cuba,79.1,92.0,99.0,75.94594594594592
Egypt,79.0,159.0,93.0,75.67567567567568
Czechia,78.8,86.0,97.0,75.13513513513513
Maldives,78.5,61.0,99.0,74.32432432432432
Qatar,78.2,68.0,99.0,73.51351351351352
Croatia,78.0,95.0,94.0,72.97297297297297
Albania,77.8,74.0,99.0,72.43243243243242
Panama,77.8,118.0,72.5,72.43243243243242
Brunei Darussalam,77.7,78.0,99.0,72.16216216216218
Estonia,77.6,119.0,93.0,71.89189189189187
Poland,77.5,117.0,95.0,71.62162162162163
Bosnia and Herzegovina,77.4,88.0,78.0,71.35135135135137
United Arab Emirates,77.1,75.0,99.0,70.54054054054053
Bolivia (Plurinational State of),77.0,186.0,99.0,70.27027027027027
Uruguay,77.0,116.0,95.0,70.27027027027027
Bahrain,76.9,69.0,98.0,70.00000000000001
Mexico,76.7,122.0,87.0,69.45945945945947
Slovakia,76.7,19.0,96.0,69.45945945945947
Oman,76.6,99.0,99.0,69.18918918918916
Antigua and Barbuda,76.4,13.0,92.5,68.64864864864867
Argentina,76.3,116.0,93.5,68.37837837837837
Ecuador,76.2,118.0,81.0,68.10810810810811
Jamaica,76.2,125.0,91.0,68.10810810810811
Bahamas,76.1,147.0,95.0,67.83783783783782
China,76.1,85.0,99.0,67.83783783783782
Montenegro,76.1,16.0,89.0,67.83783783783782
Democratic People's Republic of Korea,76.0,139.0,97.5,67.56756756756756
Viet Nam,76.0,127.0,97.0,67.56756756756756
Hungary,75.8,134.0,99.0,67.02702702702702
Turkey,75.8,16.0,97.0,67.02702702702702
The former Yugoslav republic of Macedonia,75.7,12.0,91.5,66.75675675675676
Algeria,75.6,19.0,95.0,66.48648648648647
Serbia,75.6,121.0,95.0,66.48648648648647
Barbados,75.5,98.0,97.0,66.21621621621621
Iran (Islamic Republic of),75.5,83.0,98.0,66.21621621621621
Peru,75.5,123.0,48.5,66.21621621621621
Tunisia,75.3,1.0,98.0,65.67567567567568
Saint Lucia,75.2,138.0,99.0,65.40540540540542
Brazil,75.0,142.0,97.0,64.86486486486487
Malaysia,75.0,123.0,99.0,64.86486486486487
Romania,75.0,133.0,89.0,64.86486486486487
Russian Federation,75.0,222.0,97.0,64.86486486486487
Lebanon,74.9,98.0,78.0,64.59459459459461
Sri Lanka,74.9,138.0,99.0,64.59459459459461
Thailand,74.9,148.0,99.0,64.59459459459461
Armenia,74.8,118.0,95.0,64.32432432432431
Colombia,74.8,143.0,91.0,64.32432432432431
Nicaragua,74.8,145.0,98.5,64.32432432432431
Kuwait,74.7,81.0,99.0,64.05405405405406
Honduras,74.6,147.0,97.0,63.78378378378377
Latvia,74.6,153.0,95.0,63.78378378378377
Mauritius,74.6,146.0,97.5,63.78378378378377
Bulgaria,74.5,137.0,91.0,63.51351351351351
Saudi Arabia,74.5,88.0,97.5,63.51351351351351
Georgia,74.4,129.0,92.5,63.24324324324326
Morocco,74.3,95.0,99.0,62.97297297297296
Jordan,74.1,112.0,99.0,62.432432432432414
Venezuela (Bolivarian Republic of),74.1,157.0,87.0,62.432432432432414
Paraguay,74.0,146.0,91.0,62.16216216216216
Samoa,74.0,125.0,63.5,62.16216216216216
Dominican Republic,73.9,152.0,86.0,61.8918918918919
Grenada,73.6,142.0,95.5,61.08108108108107
Lithuania,73.6,165.0,93.0,61.08108108108107
El Salvador,73.5,178.0,91.5,60.810810810810814
Tonga,73.5,133.0,43.0,60.810810810810814
Cabo Verde,73.3,114.0,93.0,60.27027027027027
Saint Vincent and the Grenadines,73.2,156.0,97.5,60.00000000000001
Seychelles,73.2,168.0,97.0,60.00000000000001
Azerbaijan,72.7,118.0,97.0,58.64864864864866
Libya,72.7,138.0,97.0,58.64864864864866
Belarus,72.3,196.0,99.0,57.56756756756756
Republic of Moldova,72.1,157.0,87.5,57.02702702702701
Kazakhstan,72.0,198.0,98.0,56.75675675675676
Vanuatu,72.0,13.0,64.5,56.75675675675676
Guatemala,71.9,186.0,41.5,56.4864864864865
Bangladesh,71.8,129.0,97.0,56.21621621621621
Suriname,71.6,176.0,89.0,55.67567567567566
Ukraine,71.3,195.0,37.0,54.864864864864856
Trinidad and Tobago,71.2,17.0,92.0,54.594594594594604
Kyrgyzstan,71.1,166.0,97.0,54.324324324324316
Belize,71.0,175.0,94.0,54.054054054054056
Fiji,69.9,188.0,99.0,51.081081081081095
Bhutan,69.8,211.0,98.5,50.8108108108108
Tajikistan,69.7,161.0,96.0,50.54054054054055
Micronesia (Federated States of),69.4,166.0,71.5,49.72972972972974
Uzbekistan,69.4,184.0,99.0,49.72972972972974
Nepal,69.2,165.0,50.0,49.1891891891892
Solomon Islands,69.2,177.0,98.5,49.1891891891892
Indonesia,69.1,176.0,43.0,48.918918918918905
Iraq,68.9,182.0,60.5,48.37837837837839
Mongolia,68.8,222.0,99.0,48.1081081081081
Cambodia,68.7,174.0,88.0,47.837837837837846
Philippines,68.5,211.0,42.5,47.2972972972973
India,68.3,181.0,86.5,46.75675675675675
Timor-Leste,68.3,152.0,75.5,46.75675675675675
Sao Tome and Principe,67.5,19.0,96.0,44.5945945945946
Zimbabwe,67.0,336.0,87.5,43.24324324324324
Senegal,66.7,188.0,87.0,42.432432432432435
Myanmar,66.6,199.0,89.0,42.16216216216215
Pakistan,66.4,161.0,72.0,41.621621621621635
Kiribati,66.3,198.0,43.0,41.35135135135135
Turkmenistan,66.3,215.0,99.0,41.35135135135135
Guyana,66.2,215.0,93.5,41.08108108108109
Rwanda,66.1,227.0,98.5,40.81081081081079
Gabon,66.0,229.0,43.5,40.54054054054054
Namibia,65.8,248.0,92.0,39.99999999999999
Botswana,65.7,256.0,95.5,39.72972972972973
Lao People's Democratic Republic,65.7,194.0,89.0,39.72972972972973
Yemen,65.7,224.0,66.0,39.72972972972973
Madagascar,65.5,22.0,70.0,39.189189189189186
Afghanistan,65.0,263.0,35.5,37.83783783783784
Ethiopia,64.8,225.0,76.0,37.29729729729729
Congo,64.7,267.0,8.0,37.02702702702704
Eritrea,64.7,255.0,95.0,37.02702702702704
Syrian Arab Republic,64.5,293.0,23.0,36.486486486486484
Sudan,64.1,225.0,93.0,35.40540540540539
Comoros,63.5,227.0,91.5,33.78378378378378
Djibouti,63.5,241.0,84.0,33.78378378378378
Haiti,63.5,24.0,31.0,33.78378378378378
